Title,Url,Score
WASI 0.3.0 Released,https://github.com/WebAssembly/WASI/releases/tag/v0.3.0,104 points
A Call to Action: Stop the FCC's KYC Regime,https://blog.lopp.net/call-to-action-stop-the-fcc-kyc-regime/,1 hour ago
AI agent bankrupted their operator while trying to scan DN42,https://lantian.pub/en/article/fun/ai-agent-bankrupted-their-operator-scan-dn42lantian.lantian/,
Maxproof,https://arxiv.org/abs/2606.13473,53 points
"If you are asking for human attention, demonstrate human effort",https://tombedor.dev/human-attention-and-human-effort/,51 minutes ago
How to automate Instagram engagements with computer vision (and get banned),https://blog.florianherrengt.com/how-to-automate-instagram-engagements.html,
The Future of Email,https://www.fastmail.com/blog/the-future-of-email/,1121 points
Nobody ever gets credit for fixing problems that never happened (2001) [pdf],https://web.mit.edu/nelsonr/www/Repenning=Sterman_CMR_su01_.pdf,10 hours ago
Slightly reducing the sloppiness of AI generated front end,https://envs.net/~volpe/blog/posts/reduce-slop.html,
Hazel (YC W24) Is Hiring a Full Stack Engineer,https://www.ycombinator.com/companies/hazel-2/jobs/3epPWgu-full-stack-engineer-ts-sci,83 points
Claude Fable is relentlessly proactive,https://simonwillison.net/2026/Jun/11/fable-is-relentlessly-proactive/,3 hours ago
AUR Packages Compromised with Infostealer and Rootkit,https://discourse.ifin.network/t/400-aur-packages-compromised-with-infostealer-and-rootkit/577,
Show HN: Homebrew 6.0.0,https://brew.sh/2026/06/11/homebrew-6.0.0/,1179 points
A dumpster arrived behind my university's library,https://yalereview.org/article/sheila-liming-the-end-of-books,16 hours ago
European sunscreens are safer than American,https://www.ms.now/opinion/msnbc-opinion/sunscreen-united-states-fda-ingredients-rcna153526,
Kimi K2.7-Code: open-source coding model with better token efficiency,https://huggingface.co/moonshotai/Kimi-K2.7-Code,21 points
How we made hit video game Prince of Persia,https://www.theguardian.com/culture/2026/jan/05/raiders-of-the-lost-ark-hit-video-game-prince-of-persia,1 hour ago
"Show HN: FablePool – pool money behind a prompt, and Fable builds it in public",https://fablepool.com,
Encrypted Spaces An architecture for collaborative applications,https://encryptedspaces.org/,142 points
Vinyl succumbs to Loudness War: more than just collateral damage (2025),https://magicvinyldigital.net/2025/04/27/vinyl-succumbs-to-loudness-war-more-than-just-collateral-damage/,4 hours ago
Ryanair dark UX patterns summer 2026 refresher,https://blog.osull.com/2026/06/12/ryanair-dark-ux-patterns-summer-2026-refresher/,
Anthropic apologizes for invisible Claude Fable guardrails,https://www.theverge.com/ai-artificial-intelligence/948280/anthropic-claude-fable-invisible-distillation-guardrail,623 points
MiMo Code is now released and open-source,https://mimo.xiaomi.com/mimocode,14 hours ago
Making a vintage LLM from scratch,https://crlf.link/log/entries/260525-1/,
"David Hockney, Who Restored the Human Form to Art, Dies at 88",https://www.nytimes.com/2026/06/12/arts/design/david-hockney-dead.html,9 points
Petition to Withdraw Canada's Bill C-22,https://www.ourcommons.ca/petitions/en/Petition/Sign/e-7416,35 minutes ago
macOS 27 Beta breaks the ability to boot Asahi Linux,https://www.phoronix.com/news/macOS-27-Beta-Breaks-Asahi,
Claude Fable 5: mid-tier results on coding tasks,https://www.endorlabs.com/learn/claude-fable-5-mythos-grade-hype,639 points
"Reading for pleasure is sharply down among schoolkids, report shows",https://www.nbcnews.com/data-graphics/kids-reading-less-lower-levels-department-education-study-rcna348987,14 hours ago
Ear Training Practice,https://tonedear.com/,
